open,high,low,close,volume
142.19,143.37,140.0,140.94,69721100
147.07001,147.3,141.92,142.91,64727200
147.77,150.92,145.77,146.63,68826400
145.96001,148.0,145.64999,147.81,65447400
148.21001,149.13,146.61,148.31,71250400
141.39999,148.72,140.55,148.03,111380900
144.28999,144.81,140.35001,141.17,83763800
145.14,146.64,143.38,144.22,69246000
148.31,148.88,147.12,148.11,35195900
149.45,151.83,149.34,151.07001,58301400
148.13,150.42,146.92999,150.17999,51804100
150.16,150.37,147.72,148.00999,58724100
152.31,152.7,149.97,151.28999,74829600
146.42999,151.48,146.14999,150.72,80389400
149.13,149.87,147.28999,148.78999,64218300
152.22,153.59,148.56,150.03999,89868300
148.97,150.28,147.42999,148.28,73374100
145.82001,150.00999,144.37,149.7,93979700
141.24001,146.87,139.5,146.87,118854000
138.5,138.55,134.59,134.87,74917800
140.41,141.42999,137.49001,139.5,89908500
137.11,139.14999,135.67,138.92,83374600
142.09,142.67,134.38,138.38,140814800
142.06,142.8,138.75,138.88,97918500
148.95,152.17,145.0,145.03,93604600
155.08,155.45,149.13,150.64999,80379300
153.16,154.24001,151.92,153.34,97943200
148.2,157.5,147.82001,155.74001,164762400
148.07001,149.05,144.13,144.8,109180200
150.96001,151.99001,148.03999,149.35001,88194300
150.09,152.49001,149.36,152.34,74732300
147.19,150.23,146.0,149.45,75981900
142.87,147.85001,142.64999,147.27,86548600
143.02,145.89,142.64999,143.39,64522000
141.69,144.95,141.5,143.86,61758300
145.49001,146.7,140.61,143.75,99136600
141.07001,142.89999,140.27,142.41,85250900
144.31,144.52,138.19,138.38,88598000
134.99001,143.59,134.37,142.99001,113224000
139.13,140.36,138.16,138.34,70433700
139.89999,141.35001,138.22,138.98,77033700
140.42,141.89,138.57001,140.42,74899000
142.53999,143.10001,139.45,140.09,85925600
145.81,147.53999,145.22,145.42999,68402200
144.07001,147.38,143.00999,146.39999,79471000
145.03,146.22,144.25999,146.10001,87830100
138.21001,143.07001,137.69,142.45,114311700
141.28,143.10001,138.0,138.2,124925300
146.10001,146.72,140.67999,142.48,128138200
147.64,150.64,144.84,149.84,146691400
152.74001,154.72,149.95,151.75999,84442700
149.66,153.77,149.64,150.77,93339400
151.19,151.47,148.56,150.42999,96029900
152.38,154.47,150.91,152.74001,86652500
157.34,158.74001,153.60001,153.72,101696800
153.39999,158.08,153.08,156.89999,107689800
149.31,154.56,149.10001,154.48,81474200
151.21001,151.35001,148.37,150.7,162278800
154.64999,155.24001,151.38,152.37,90481100
154.78999,157.10001,153.61,155.31,87965400
159.89999,160.53999,153.37,153.84,122656600
159.59,164.25999,159.3,163.42999,104956000
155.47,157.82001,154.75,157.37,68028800
154.64,156.36,152.67999,154.46001,84923800
154.82001,156.67,153.61,155.96001,87449600
156.47,157.09,153.69,154.53,73714800
159.75,160.36,154.97,155.81,76957800
156.64,158.42,154.67,157.96001,74229900
160.31,160.58,157.14,157.22,87991100
162.13,162.56,157.72,158.91,77906200
161.14999,162.89999,159.82001,161.38,73314000
170.57001,171.05,163.56,163.62,78961000
168.78,170.14,168.35001,170.03,51218200
167.32001,168.11,166.25,167.53,53841500
167.08,168.71001,166.64999,167.23,54147100
169.69,169.86,167.14,167.57001,69026800
173.03,173.74001,171.31,171.52,70346300
173.75,174.89999,173.12,174.14999,62290100
172.77,176.14999,172.57001,174.55,79542000
172.78,173.71001,171.66,173.03,56377100
171.52,173.39,171.35001,173.19,54091700
169.82001,172.17,169.39999,172.10001,68039400
170.06,170.99001,168.19,168.49001,57149200
167.67999,169.34,166.89999,169.24001,70170500
164.02,165.82001,163.25,164.92,63135500
166.37,167.81,164.2,164.87,60276900
163.21001,165.85001,163.0,165.35001,56697000
166.00999,167.19,164.42999,165.81,55474100
160.84,166.59,160.75,166.13,82507500
160.10001,162.41,159.63,160.00999,59907000
161.00999,163.59,160.89,161.50999,67829400
161.24001,163.63,159.5,162.50999,101786900
156.98,157.64,154.41,157.35001,81378700
152.58,157.33,152.16,156.78999,78620700
152.25999,153.09,150.8,151.60001,55138700
154.00999,155.03999,152.28,152.95,53623900
155.39,156.28,153.41,154.09,66675400
154.5,155.57001,151.94,155.35001,65086600
151.12,153.72,150.37,153.03999,64823400
147.92,151.23,146.91,151.0,82982400
150.74001,151.57001,146.7,147.07001,81420900
149.78,150.86,148.2,150.17,76259900
144.08,148.95,143.25,148.47,78140700
142.99001,146.45,142.12,145.49001,71185600
145.75999,148.45,145.05,145.86,77588800
145.67,146.64,143.78,144.87,63141600
145.25999,147.55,145.0,147.03999,64547800
143.28999,146.55,143.28,146.35001,66253700
141.35001,144.12,141.08,142.92,74064300
137.77,141.61,136.92999,141.56,73353800
136.03999,139.03999,135.66,138.92999,71051600
137.25,138.37,133.77,136.72,98964500
137.46001,140.67,136.67,139.23,66242400
142.13,143.42,137.32001,137.44,67083400
142.7,143.49001,140.97,141.66,70207900
139.89999,141.91,139.77,141.66,89116800
136.82001,138.59,135.63,138.27,72433800
134.78999,137.75999,133.91,135.35001,73409200
133.42,137.06,133.32001,135.87,81000500
130.07001,133.08,129.81,131.56,134520300
132.08,132.39,129.03999,130.06,108123900
134.28999,137.34,132.16,135.42999,91533000
133.13,133.89,131.48,132.75999,84784300
132.87,135.2,131.44,131.88,122207100
140.28,140.75999,137.06,137.13,91437900
147.08,147.95,142.53,142.64,69473000
148.58,149.87,147.46001,147.96001,53950200
144.35001,149.0,144.10001,148.71001,67808200
147.03,148.57001,144.89999,146.14,71598400
146.89999,147.97,144.46001,145.38,88570300
147.83,151.27,146.86,151.21001,72348100
